'id_event','match_event','time','player','team','type_e'
591,239,50,46,8,'penalty'
592,239,87,45,8,'penalty'
593,239,91,97,8,'goal'
594,240,14,299,15,'goal'
595,240,33,102,15,'goal'
596,240,39,262,15,'goal'
597,240,41,149,18,'goal'
598,240,81,26,15,'goal'
599,240,91,102,15,'penalty'
600,241,74,233,14,'goal'
601,241,81,359,14,'goal'
602,241,85,161,14,'goal'
603,242,82,209,1,'goal'
604,242,84,56,0,'goal'
605,243,17,347,2,'goal'
606,244,14,90,7,'goal'
607,244,66,41,7,'goal'
608,244,88,315,7,'goal'
609,245,4,404,13,'goal'
610,245,9,319,13,'goal'
611,245,14,208,13,'goal'
612,245,20,353,4,'goal'
613,245,50,73,4,'goal'
614,245,59,404,13,'goal'
615,245,77,0,13,'goal'
616,246,83,441,3,'goal'
617,246,94,180,3,'penalty'
618,247,65,370,11,'goal'
619,247,68,174,11,'penalty'
620,248,22,266,9,'goal'
621,248,35,88,16,'goal'
622,248,54,248,16,'goal'
623,249,26,36,10,'goal'
624,250,47,341,1,'goal'
625,250,56,59,1,'goal'
626,250,92,370,11,'miss'
627,250,94,11,11,'own'
628,251,5,147,10,'goal'
629,251,34,275,5,'goal'
630,251,47,31,10,'goal'
631,251,53,275,5,'goal'
632,252,92,407,15,'goal'
633,253,36,149,18,'goal'
634,253,44,180,3,'goal'
635,253,81,223,3,'goal'
636,253,84,180,3,'goal'
637,254,19,362,2,'goal'
638,254,59,65,2,'goal'
639,254,92,362,2,'goal'
640,255,15,233,14,'goal'
641,255,58,47,14,'goal'
642,256,15,54,19,'goal'
643,256,18,90,7,'goal'
644,256,34,54,19,'goal'
645,256,48,191,19,'goal'
646,256,82,54,19,'goal'
647,257,47,383,0,'own'
648,257,56,55,0,'penalty'
649,257,77,69,4,'goal'
650,258,12,93,13,'goal'
651,258,15,208,13,'goal'
652,258,59,229,12,'goal'
653,258,67,208,13,'goal'
654,259,30,248,8,'own'
655,259,85,45,8,'goal'
657,261,75,268,14,'goal'
658,262,56,12,19,'penalty'
659,262,72,12,19,'goal'
660,263,37,347,2,'goal'
661,263,67,362,2,'goal'
662,263,77,157,2,'goal'
663,263,88,14,2,'goal'
664,263,92,409,11,'goal'
665,264,34,128,3,'goal'
666,264,40,128,3,'goal'
667,265,33,90,7,'penalty'
